Sr No,Name of Institute,Institute Type,Branch,Admission Category,Quota,First Admitted DDCET Marks,First Admitted DDCET Rank,Last Admitted DDCET Marks,Last Admitted DDCET Rank
1,"Adani, Ahmedabad",SFI,Civil & Infrastructure Engg.,OP,Home State,83,3765,45.5,12549
2,"Adani, Ahmedabad",SFI,Information & Communication Tech.,EW,Home State,69,6223,69,6223
3,"Adani, Ahmedabad",SFI,Information & Communication Tech.,OP,Home State,119,1046,103.5,1837
4,"Adani, Ahmedabad",SFI,Information & Communication Tech.,TF,Home State,143,346,143,346
5,"Adani, Ahmedabad",SFI,CSE (AI And Machine Learning),EW,Home State,127.5,740,126.5,774
6,"Adani, Ahmedabad",SFI,CSE (AI And Machine Learning),OP,Home State,144.5,315,128.5,706
7,"Adani, Ahmedabad",SFI,CSE (AI And Machine Learning),SC,Home State,92.5,2714,91.5,2826
8,"Adani, Ahmedabad",SFI,CSE (AI And Machine Learning),SE,Home State,125.5,802,105,1714
9,"Adani, Ahmedabad",SFI,CSE (AI And Machine Learning),TF,Home State,152.5,188,152.5,188
10,"ADIT, Karamsad",SFI,Civil Engg.,OP,Home State,64.5,7179,41,13830
11,"ADIT, Karamsad",SFI,Computer Engg.,EW,Home State,79,4349,79,4349
12,"ADIT, Karamsad",SFI,Computer Engg.,OP,Home State,124,850,96.5,2381
13,"ADIT, Karamsad",SFI,Computer Engg.,SC,Home State,59.5,8604,59.5,8604
14,"ADIT, Karamsad",SFI,Computer Engg.,SE,Home State,81,4017,64,7305
15,"ADIT, Karamsad",SFI,Computer Engg.,TF,Home State,147.5,274,147.5,274
16,"ADIT, Karamsad",SFI,Information Tech.,EW,Home State,53.5,10247,53,10325
17,"ADIT, Karamsad",SFI,Information Tech.,OP,Home State,114.5,1229,64,7352
18,"ADIT, Karamsad",SFI,Information Tech.,SE,Home State,60,8469,60,8469
19,"ADIT, Karamsad",SFI,Information Tech.,TF,Home State,146,291,146,291
20,"ADIT, Karamsad",SFI,Dairy Tech.,OP,Home State,38,14582,38,14582
21,"ADIT, Karamsad",SFI,Artificial Intelligence And Data Science,OP,Home State,89.5,2992,55,9753
22,"ADIT, Karamsad",SFI,Artificial Intelligence And Data Science,TF,Home State,148,266,148,266
23,"ADIT, Karamsad",SFI,CS & Design,OP,Home State,79.5,4269,64,7354
24,"ADIT, Karamsad",SFI,CS & Design,SE,Home State,41.5,13682,41.5,13682
25,"Aditya, Ahmedabad",SFI,Civil Engg.,OP,Home State,67.5,6531,67.5,6531
26,"Aditya, Ahmedabad",SFI,Civil Engg.,TF,Home State,85,3542,85,3542
27,"Aditya, Ahmedabad",SFI,Computer Engg.,OP,Home State,90.5,2899,26.5,16447
28,"Aditya, Ahmedabad",SFI,Computer Engg.,TF,Home State,122,919,120.5,971
29,"Aditya, Ahmedabad",SFI,Electrical Engg.,OP,Home State,72.5,5417,41,13793
30,"Aditya, Ahmedabad",SFI,Information Tech.,OP,Home State,95,2501,32.5,15738
31,"Aditya, Ahmedabad",SFI,Information Tech.,TF,Home State,129.5,676,120,1017
32,"Aditya, Ahmedabad",SFI,Mechanical Engg.,OP,Home State,43,13197,28,16250
33,"Aditya, Ahmedabad",SFI,Mechanical Engg.,TF,Home State,81.5,3990,81.5,3990
34,"Aditya, Ahmedabad",SFI,Chemical Engg.,TF,Home State,35,15321,35,15321
35,"Aditya, Ahmedabad",SFI,Aeronautical Engg.,OP,Home State,56.5,9373,56.5,9373
36,"Aditya, Ahmedabad",SFI,Computer Science & Engg,OP,Home State,98,2267,27,16402
37,"Aditya, Ahmedabad",SFI,CSE (Separate Division),OP,Home State,85,3496,57,9273
38,"Aditya, Ahmedabad",SFI,CSE (Separate Division),TF,Home State,118.5,1061,105,1721
39,"Agrawal, Navsari",SFI,Civil Engg.,OP,Home State,93.5,2639,25.5,16510
40,"Agrawal, Navsari",SFI,Computer Engg.,EW,Home State,53.5,10206,53.5,10206
41,"Agrawal, Navsari",SFI,Computer Engg.,OP,Home State,99,2191,85,3512
42,"Agrawal, Navsari",SFI,Computer Engg.,SC,Home State,60.5,8209,60.5,8209
43,"Agrawal, Navsari",SFI,Computer Engg.,SE,Home State,38,14572,38,14572
44,"Agrawal, Navsari",SFI,Computer Engg.,ST,Home State,52,10721,52,10721
45,"Agrawal, Navsari",SFI,Electrical Engg.,OP,Home State,85.5,3442,29,16195
46,"Agrawal, Navsari",SFI,Electrical Engg.,TF,Home State,54.5,10012,54.5,10012
47,"Agrawal, Navsari",SFI,Mechanical Engg.,TF,Home State,85,3534,85,3534
48,"Agrawal, Navsari",SFI,Chemical Engg.,OP,Home State,66,6790,30,16109
49,"AIT, Ahmedabad",SFI,Civil Engg.,OP,Home State,55,9894,44.5,12867
50,"AIT, Ahmedabad",SFI,Computer Engg.,OP,Home State,133,582,20.5,16895
51,"AIT, Ahmedabad",SFI,Computer Engg.,TF,Home State,137,482,137,482
52,"AIT, Ahmedabad",SFI,Electrical Engg.,OP,Home State,60,8338,38.5,14455
53,"AIT, Ahmedabad",SFI,Information Tech.,OP,Home State,156.5,152,20,16961
54,"AIT, Ahmedabad",SFI,Mechanical Engg.,OP,Home State,70.5,5834,44.5,12903
55,"AIT, Ahmedabad",SFI,Mechanical Engg.,TF,Home State,84,3626,84,3626
56,"AIT, Ahmedabad",SFI,Automobile Engg.,OP,Home State,54,10074,54,10074
57,"AIT, Ahmedabad",SFI,Automobile Engg.,TF,Home State,67,6583,67,6583
58,"AIT, Ahmedabad",SFI,CSE (Data Science),OP,Home State,66.5,6744,29,16170
59,"AIT, Ahmedabad",SFI,CSE (Cyber Security),OP,Home State,69.5,6103,50.5,11068
60,"AIT, Ahmedabad",SFI,AI And Machine Learning,OP,Home State,85,3509,67,6647
61,"ALPHA, Kalol",SFI,Computer Engg.,OP,Home State,60,8277,60,8277
62,"AMT I.Sc.Tech, Bardoli",SFI,Computer Engg.,OP,Home State,80,4226,34.5,15386
63,"AMT I.Sc.Tech, Bardoli",SFI,Computer Engg.,TF,Home State,110,1434,110,1434
64,"AMT I.Sc.Tech, Bardoli",SFI,Information Tech.,OP,Home State,92,2795,62.5,7748
65,"AMT I.Sc.Tech, Bardoli",SFI,Information Tech.,TF,Home State,116.5,1144,116.5,1144
66,"AMT I.Sc.Tech, Bardoli",SFI,Computer Science & Engg,OP,Home State,104,1805,50,11214
67,"AMT I.Sc.Tech, Bardoli",SFI,Computer Science & Engg,ST,Home State,39.5,14306,39.5,14306
68,"AMT I.Sc.Tech, Bardoli",SFI,CSE (AI And Machine Learning),OP,Home State,65.5,6950,47.5,12146
69,"ApolloET, Ahmedabad",SFI,Computer Engg.,OP,Home State,108.5,1533,36.5,14925
70,"ApolloET, Ahmedabad",SFI,Computer Engg.,TF,Home State,127.5,739,127.5,739
71,"ApolloET, Ahmedabad",SFI,Information Tech.,OP,Home State,89.5,2996,37,14824
72,"Arrdekta, Khedbrahm",SFI,Information Tech.,TF,Home State,84,3621,84,3621
73,"ATMIYA, Rajkot",SFI,Civil Engg.,OP,Home State,42.5,13474,42.5,13474
74,"ATMIYA, Rajkot",SFI,Computer Engg.,OP,Home State,120,997,45,12757
75,"ATMIYA, Rajkot",SFI,Computer Engg.,TF,Home State,134,553,134,553
